,Unnamed: 0,drug_name,drug_link,drug_id
0,0,Abacavir,/mtm/abacavir.html,2-0
1,1,"Abacavir, dolutegravir, and lamivudine",/mtm/abacavir-dolutegravir-and-lamivudine.html,3557-0
2,2,Abacavir and lamivudine,/mtm/abacavir-and-lamivudine.html,3-0
3,3,Abacavir and Lamivudine Tablets,/pro/abacavir-and-lamivudine-tablets.html,3-0
4,4,"Abacavir, lamivudine, and zidovudine",/mtm/abacavir-lamivudine-and-zidovudine.html,4-0
5,5,"Abacavir, Lamivudine and Zidovudine Tablets",/pro/abacavir-lamivudine-and-zidovudine-tablets.html,4-0
6,6,Abacavir Oral Solution,/cdi/abacavir-oral-solution.html,2-0
7,7,Abacavir Sulfate,/monograph/abacavir-sulfate.html,2-0
8,8,Abacavir Sulfate Tablets,/pro/abacavir-sulfate-tablets.html,2-0
9,9,Abacavir Tablets,/cdi/abacavir-tablets.html,2-0
10,10,Abaloparatide,/mtm/abaloparatide.html,3805-0
11,11,Abaloparatide Subcutaneous,/cons/abaloparatide-subcutaneous.html,3805-0
12,12,Abatacept,/mtm/abatacept.html,6-0
13,13,Abatacept Auto-Injectors,/cdi/abatacept-auto-injectors.html,6-0
14,14,Abatacept Infusion,/cdi/abatacept-infusion.html,6-0
15,15,Abatacept Intravenous,/cons/abatacept-intravenous.html,6-0
16,16,Abatacept Prefilled Syringes,/cdi/abatacept-prefilled-syringes.html,6-0
17,17,Abatron,/cdi/abatron.html,243-3197
18,18,Abatuss DMX,/mtm/abatuss-dmx.html,827-16589
19,19,Abbokinase,/cons/abbokinase.html,1879-10044
20,20,Abciximab,/cdi/abciximab.html,7-0
21,21,Abciximab Intravenous,/cons/abciximab-intravenous.html,7-0
22,22,ABDEK,/cdi/abdek.html,210-0
23,23,Abelcet,/cdi/abelcet.html,194-1764
24,24,Abemaciclib,/mtm/abemaciclib.html,3867-0
25,25,Abenol,/cons/abenol.html,11-15136
26,26,Abilify,/abilify.html,233-109
27,27,Abilify (Aripiprazole Injection),/cdi/abilify-aripiprazole-injection.html,233-109
28,28,Abilify (Aripiprazole Oral Solution),/cdi/abilify-aripiprazole-oral-solution.html,233-109
29,29,Abilify (Aripiprazole Tablets),/cdi/abilify-aripiprazole-tablets.html,233-109
30,30,Abilify Discmelt,/mtm/abilify-discmelt.html,233-2478
31,31,Abilify Intramuscular,/cons/abilify-intramuscular.html,233-109
32,32,Abilify Maintena,/cdi/abilify-maintena.html,233-16107
33,33,Abilify Maintena injection,/mtm/abilify-maintena-injection.html,233-16107
34,34,Abilify MyCite,/cdi/abilify-mycite.html,233-18715
35,35,Abiraterone,/mtm/abiraterone.html,3321-0
36,36,Abiraterone acetate,/cons/abiraterone-acetate.html,3321-0
37,37,Abiraterone Acetate (Yonsa),/cdi/abiraterone-acetate-yonsa.html,3321-0
38,38,Abiraterone Acetate (Zytiga),/cdi/abiraterone-acetate-zytiga.html,3321-0
39,39,Ablavar,/cdi/ablavar.html,3121-14346
40,40,Ablysinol,/pro/ablysinol.html,2-0
41,41,AbobotulinumtoxinA,/mtm/abobotulinumtoxina.html,3247-0
42,42,Abobotulinumtoxina Intramuscular,/cons/abobotulinumtoxina-intramuscular.html,3247-0
43,43,A/B Otic,/cons/a-b-otic.html,0-0
44,44,Abraxane,/abraxane.html,1779-12882
45,45,Abreva,/mtm/abreva.html,0-0
46,46,Abreva Topical,/cons/abreva-topical.html,0-0
47,47,Absorbine Athletes Foot,/mtm/absorbine-athletes-foot.html,0-0
48,48,Absorbine Jr.,/mtm/absorbine-jr.html,1601-17212
49,49,Absorbine Jr. Antifungal,/mtm/absorbine-jr-antifungal.html,0-0
50,50,Absorbine Jr. Antifungal Topical,/cons/absorbine-jr-antifungal-topical.html,0-0
51,51,Absorbine Veterinary,/pro/absorbine-veterinary.html,0-0
52,52,Absorica,/mtm/absorica.html,1403-15696
53,53,Abstral,/abstral.html,1074-15009
54,54,Abstral Sublingual Tablet,/pro/abstral-sublingual-tablet.html,1074-15009
55,55,Acacia Gum,/npp/acacia-gum.html,0-0
56,56,Acai,/npc/acai.html,0-0
57,57,Acalabrutinib,/mtm/acalabrutinib.html,7-0
58,58,ACAM2000,/acam2000.html,6-0
59,59,Acamprosate,/mtm/acamprosate.html,0-0
60,60,Acamprosate Calcium,/monograph/acamprosate-calcium.html,0-0
61,61,Acanya,/acanya.html,355-13392
62,62,Acarbose,/mtm/acarbose.html,9-0
63,63,Acarexx,/pro/acarexx.html,0-0
64,64,A-Caro-25,/cdi/a-caro-25.html,368-15134
65,65,Acb,/cons/acb.html,0-0
66,66,AccessPak for HIV PEP Basic,/mtm/accesspak-for-hiv-pep-basic.html,971-14446
67,67,AccessPak for HIV PEP Expanded with Kaletra,/mtm/accesspak-for-hiv-pep-expanded-with-kaletra.html,3222-14423
68,68,AccessPak for HIV PEP Expanded with Viracept,/mtm/accesspak-for-hiv-pep-expanded-with-viracept.html,3867-0
69,69,Acclean,/pro/acclean.html,0-0
70,70,Acclean 60 Second Fluoride Treatment,/pro/acclean-60-second-fluoride-treatment.html,0-0
71,71,Acclean Plus,/pro/acclean-plus.html,0-0
72,72,Accolate,/mtm/accolate.html,2317-1533
73,73,Accretropin,/accretropin.html,3867-0
74,74,Accucaine,/pro/accucaine.html,1310-782
75,75,AccuHist Drops,/pro/accuhist-drops.html,3321-0
76,76,AccuHist PDX Drops,/pro/accuhist-pdx-drops.html,38-0
77,77,AccuHist PDX Syrup,/mtm/accuhist-pdx-syrup.html,3321-0
78,78,Accuneb,/cons/accuneb.html,109-42
79,79,Accupril,/accupril.html,1980-1277
80,80,Accuretic,/mtm/accuretic.html,1266-1275
81,81,Accutane,/accutane.html,233-109
82,82,ACD  A,/pro/acd-a.html,0-0
83,83,ACD Blood Pack Units,/pro/acd-blood-pack-units.html,0-0
84,84,ACD Solution Modified,/pro/acd-solution-modified.html,0-0
85,85,Acebutolol,/mtm/acebutolol.html,10-0
86,86,Acebutolol Hydrochloride,/monograph/acebutolol-hydrochloride.html,10-0
87,87,Acella Antipyrine and Benzocaine Otic Solution,/pro/acella-antipyrine-and-benzocaine-otic-solution.html,0-0
88,88,Acella Hydrocortisone Acetate - Pramoxine Singles,/pro/acella-hydrocortisone-acetate-pramoxine-singles.html,969-9510
89,89,Aceon,/aceon.html,1830-1181
90,90,Acephen,/cons/acephen.html,11-2690
91,91,Acephen rectal,/mtm/acephen-rectal.html,11-2690
92,92,Acerola,/mtm/acerola.html,238-0
93,93,Aceso Ag,/cdi/aceso-ag.html,3229-19209
94,94,Acetadote,/acetadote.html,97-4250
95,95,Aceta-Gesic,/mtm/aceta-gesic.html,11-2689
96,96,Acetaminophen,/acetaminophen.html,11-0
97,97,Acetaminophen and Aspirin (Buffered),/cdi/acetaminophen-and-aspirin-buffered.html,11-0
